Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
171	136	187.713	315.257	139.728	335.294	351.800	114.872	3463217.704	27674.343	990.409	35814.136	788.738	0.595	0.560	0.313	0.327	0.355	0.773	0.227	0.796	0.591	3.7881751249112038E18	0.306	0.000	110697.374	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.400	0.417	143256.545	3.063
158	131	171.963	210.786	163.817	219.875	208.588	154.214	2662598.856	23225.298	662.204	25633.071	604.412	0.816	0.782	0.612	0.739	0.666	0.906	0.094	0.913	0.645	2.6355306981591382E18	0.164	0.000	92901.193	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.342	0.745	102532.282	1.353
209	155	162.090	219.863	139.584	208.685	199.050	137.519	2229809.679	20634.914	690.721	21983.899	557.595	0.737	0.777	0.603	0.691	0.544	0.939	0.061	0.807	0.708	2.6355262378353424E18	0.242	0.000	82539.655	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.495	0.669	87935.597	1.447
20	63	154.930	209.569	147.993	221.547	204.221	134.089	1947190.336	18852.243	658.380	22509.946	583.271	0.739	0.699	0.489	0.657	0.547	0.838	0.162	0.886	0.575	2.635249712825776E18	0.158	0.000	75408.973	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.497	0.668	90039.782	1.523
315	217	154.628	229.838	159.218	219.368	202.755	154.559	1935828.491	18778.836	722.059	23206.456	602.995	0.673	0.705	0.497	0.762	0.453	0.809	0.191	0.835	0.538	2.6352497042358083E18	0.191	0.000	75115.345	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.378	0.726	92825.823	1.312
447	275	154.044	189.217	134.880	208.142	182.317	137.140	1913965.088	18637.178	594.444	20364.242	537.635	0.814	0.740	0.548	0.752	0.663	0.915	0.085	0.904	0.664	2.7613544022203197E18	0.183	0.000	74548.714	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.543	0.648	81456.967	1.329
401	257	153.863	213.481	143.579	188.690	178.119	137.426	1907216.216	18593.341	670.669	20125.655	520.620	0.721	0.815	0.665	0.772	0.519	0.924	0.076	0.776	0.686	2.6512981930169888E18	0.235	0.000	74373.364	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.314	0.761	80502.622	1.296
214	160	152.306	192.191	140.937	193.118	180.983	131.599	1849896.959	18218.914	603.786	19125.914	512.118	0.792	0.789	0.622	0.727	0.628	0.953	0.047	0.848	0.669	5.0650152320836045E18	0.224	0.000	72875.656	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.370	0.730	76503.657	1.375
329	222	150.842	183.089	141.272	192.162	175.212	135.446	1797077.680	17870.447	575.190	19112.755	513.963	0.824	0.785	0.616	0.773	0.679	0.935	0.065	0.894	0.658	2.6352535614040083E18	0.180	0.000	71481.787	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.360	0.735	76451.018	1.294
133	122	146.257	184.539	136.129	181.267	165.836	134.265	1638142.366	16800.618	579.745	17726.257	499.867	0.793	0.807	0.651	0.810	0.628	0.948	0.052	0.862	0.681	3.644086814606473E18	0.205	0.000	67202.471	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.332	0.751	70905.030	1.235
98	104	145.696	179.725	121.091	183.138	188.113	115.778	1619362.334	16671.965	564.621	17742.572	492.908	0.811	0.796	0.633	0.615	0.657	0.940	0.060	0.873	0.752	2.7633554521628109E18	0.238	0.000	66687.860	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.512	0.661	70970.289	1.625
126	120	141.414	166.438	130.318	176.700	175.653	121.469	1480719.172	15706.254	522.881	17218.219	489.639	0.850	0.800	0.640	0.692	0.722	0.912	0.088	0.936	0.682	2.635249154463185E18	0.171	0.000	62825.017	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.356	0.738	68872.876	1.446
419	265	140.830	192.971	133.489	170.556	156.781	129.957	1462456.226	15576.841	606.236	16951.947	474.166	0.730	0.826	0.682	0.829	0.533	0.919	0.081	0.782	0.684	2.6352491544461446E18	0.235	0.000	62307.365	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.278	0.783	67807.786	1.206
246	179	140.754	151.314	129.920	163.540	159.598	125.637	1460090.414	15560.037	475.366	15889.704	458.667	0.930	0.861	0.741	0.787	0.865	0.979	0.021	0.965	0.732	2.6352843378936515E18	0.226	0.000	62240.150	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.259	0.794	63558.817	1.270
124	119	140.371	183.869	133.682	161.236	150.466	131.942	1448221.214	15475.597	577.641	16145.738	459.834	0.763	0.871	0.758	0.877	0.583	0.958	0.042	0.796	0.718	3.9100586701196307E18	0.252	0.000	61902.389	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.206	0.829	64582.951	1.140
308	215	139.909	177.962	115.710	185.882	186.183	112.518	1433942.793	15373.710	559.083	17585.617	502.235	0.786	0.753	0.567	0.604	0.618	0.874	0.126	0.898	0.715	2.6378225787418477E18	0.156	0.000	61494.838	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.606	0.622	70342.466	1.655
543	334	138.625	178.673	130.543	177.474	176.020	117.988	1394824.671	15092.826	561.316	17181.860	484.941	0.776	0.781	0.610	0.670	0.602	0.878	0.122	0.864	0.651	3.7887649535749747E18	0.249	0.000	60371.302	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.360	0.736	68727.441	1.492
266	190	137.903	169.959	123.252	175.217	176.431	111.679	1373141.986	14936.004	533.943	16183.691	470.549	0.811	0.787	0.619	0.633	0.658	0.923	0.077	0.881	0.692	3.6460609867799034E18	0.232	0.000	59744.015	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.422	0.703	64734.764	1.580
320	220	137.755	230.831	93.797	266.129	292.193	81.260	1368732.828	14904.015	725.177	21277.037	627.086	0.597	0.518	0.268	0.278	0.356	0.700	0.300	0.865	0.597	2.6352503314352138E18	0.242	0.000	59616.059	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.837	0.352	85108.146	3.596
217	163	137.194	151.764	130.244	161.092	155.697	123.111	1352082.089	14782.896	476.781	15510.456	455.986	0.904	0.852	0.725	0.791	0.817	0.953	0.047	0.956	0.705	2.6375009533374122E18	0.169	0.000	59131.585	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.237	0.809	62041.823	1.265
193	144	137.171	159.116	130.234	147.943	145.524	129.327	1351393.603	14777.878	499.877	15152.167	438.697	0.862	0.927	0.860	0.889	0.743	0.975	0.025	0.878	0.767	2.7633208099144749E18	0.221	0.000	59111.513	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.136	0.880	60608.666	1.125
163	133	137.026	156.838	122.740	156.622	152.950	123.228	1347129.593	14746.774	492.720	15221.282	447.150	0.874	0.875	0.765	0.806	0.763	0.969	0.031	0.908	0.767	3.6440554700357395E18	0.199	0.000	58987.096	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.276	0.784	60885.128	1.241
197	146	136.984	170.264	130.891	171.597	154.356	128.761	1345878.319	14737.642	534.899	16864.249	482.863	0.805	0.798	0.637	0.834	0.647	0.874	0.126	0.903	0.656	2.6352503312821222E18	0.194	0.000	58950.569	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.311	0.763	67456.998	1.199
501	301	136.894	156.856	128.113	155.988	152.449	124.417	1343244.304	14718.408	492.777	15099.557	445.282	0.873	0.878	0.770	0.816	0.762	0.975	0.025	0.904	0.737	3.6598224667948582E18	0.208	0.000	58873.631	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.218	0.821	60398.228	1.225
97	104	136.824	178.020	122.416	167.062	159.685	121.296	1341185.052	14703.360	559.267	15437.958	463.532	0.769	0.819	0.671	0.760	0.591	0.952	0.048	0.829	0.719	3.9165584414118515E18	0.217	0.000	58813.442	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.365	0.733	61751.831	1.316
120	118	136.553	170.569	116.781	182.976	173.187	112.396	1333223.095	14645.112	535.858	15658.123	476.044	0.801	0.746	0.557	0.649	0.641	0.935	0.065	0.888	0.685	3.6600956265804038E18	0.197	0.000	58580.447	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.567	0.638	62632.494	1.541
154	129	136.264	160.304	135.883	141.778	139.585	133.059	1324769.369	14583.137	503.609	15010.625	435.739	0.850	0.961	0.924	0.953	0.723	0.972	0.028	0.865	0.757	2.6532674690412435E18	0.199	0.000	58332.548	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.043	0.958	60042.500	1.049
450	276	135.974	166.646	130.264	153.717	152.527	123.602	1316345.397	14521.251	523.534	15261.887	447.832	0.816	0.885	0.782	0.810	0.666	0.951	0.049	0.855	0.725	3.64605664981688E18	0.231	0.000	58085.002	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.180	0.847	61047.547	1.234
279	199	135.816	149.797	123.770	159.679	155.236	119.738	1311742.669	14487.380	470.600	15055.902	446.933	0.907	0.851	0.723	0.771	0.822	0.962	0.038	0.950	0.733	2.7613504325818547E18	0.175	0.000	57949.521	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.290	0.775	60223.609	1.296
314	217	135.728	161.408	129.616	172.051	149.572	126.381	1309201.691	14468.666	507.079	15304.081	458.932	0.841	0.789	0.622	0.845	0.707	0.945	0.055	0.905	0.649	3.7884174994449498E18	0.191	0.000	57874.665	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.327	0.753	61216.325	1.184
