Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
4246	149	62.108	116.351	57.962	90.042	94.423	48.266	125438.677	3029.552	365.528	4030.540	242.909	0.534	0.690	0.476	0.511	0.285	0.752	0.248	0.665	0.580	2.6352844163148832E18	0.370	1.995	12118.209	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.553	0.644	16122.159	1.956
4245	149	58.671	88.577	44.504	94.261	94.289	40.353	105746.716	2703.556	278.272	3286.500	230.814	0.662	0.622	0.387	0.428	0.439	0.823	0.177	0.829	0.644	2.6352848962604384E18	0.297	0.000	10814.224	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.118	0.472	13146.001	2.337
2425	134	58.629	71.446	50.874	80.494	85.123	45.364	105521.134	2699.710	224.453	3058.014	211.254	0.821	0.728	0.531	0.533	0.673	0.883	0.117	0.941	0.659	2.6352492222431411E18	0.200	0.000	10798.840	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.582	0.632	12232.054	1.876
4329	149	57.311	72.589	49.481	76.833	71.343	47.443	98561.287	2579.655	228.045	2806.562	200.690	0.790	0.746	0.556	0.665	0.623	0.919	0.081	0.880	0.679	3.6443062457122675E18	0.289	0.000	10318.622	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.553	0.644	11226.249	1.504
5650	169	57.057	69.378	49.697	76.458	78.493	45.205	97258.214	2556.868	217.958	2832.490	201.792	0.822	0.746	0.557	0.576	0.676	0.903	0.097	0.926	0.673	3.7884566106295642E18	0.256	0.000	10227.473	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.538	0.650	11329.959	1.736
1888	125	55.173	66.159	45.795	71.132	69.169	44.607	87939.504	2390.820	207.845	2560.198	189.103	0.834	0.776	0.602	0.645	0.695	0.934	0.066	0.910	0.734	3.6618279846125043E18	0.286	0.000	9563.278	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.553	0.644	10240.793	1.551
1259	115	54.897	78.455	48.715	84.980	81.554	46.691	86626.666	2366.965	246.475	3038.500	216.571	0.700	0.646	0.417	0.573	0.490	0.779	0.221	0.879	0.572	2.6352850349222979E18	0.327	0.000	9467.861	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.744	0.573	12154.001	1.747
2700	137	54.895	82.309	45.458	86.187	89.653	40.491	86614.322	2366.740	258.581	2938.492	215.095	0.667	0.637	0.406	0.452	0.445	0.805	0.195	0.832	0.604	3.7725179527709152E18	0.365	0.000	9466.961	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.896	0.527	11753.968	2.214
3637	148	54.404	60.263	47.010	70.933	65.552	45.530	84313.417	2324.637	189.322	2401.674	181.924	0.903	0.767	0.588	0.695	0.815	0.968	0.032	0.961	0.697	2.6352492222431376E18	0.232	0.000	9298.550	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.509	0.663	9606.696	1.440
4879	158	54.305	59.572	45.295	64.900	65.655	45.026	83851.406	2316.138	187.152	2381.428	178.859	0.912	0.837	0.700	0.686	0.831	0.973	0.027	0.956	0.788	2.6352492231971078E18	0.267	0.000	9264.550	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.433	0.698	9525.711	1.458
792	115	54.015	61.898	42.935	68.989	73.747	41.497	82518.644	2291.530	194.459	2490.101	188.109	0.873	0.783	0.613	0.563	0.762	0.920	0.080	0.967	0.774	2.635605551151696E18	0.216	0.000	9166.120	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.607	0.622	9960.406	1.777
1127	115	53.816	58.797	48.604	64.131	61.847	47.940	81605.796	2274.599	184.716	2356.451	179.080	0.915	0.839	0.704	0.775	0.838	0.965	0.035	0.969	0.730	2.6375059022302224E18	0.232	0.000	9098.395	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.319	0.758	9425.802	1.290
895	115	53.500	75.404	39.977	92.628	92.795	34.793	80178.929	2248.007	236.889	2737.491	217.894	0.710	0.578	0.334	0.375	0.503	0.821	0.179	0.920	0.607	2.6352536210757805E18	0.215	0.000	8992.027	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.317	0.432	10949.964	2.667
